,City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,year,Arson
39,Peoria,158347.0,296.0,9.0,24.0,77.0,186.0,4673.0,929.0,3478.0,266.0,2012,7.0
40,Phoenix,1485509.0,9458.0,123.0,556.0,3516.0,5263.0,60777.0,17912.0,35678.0,7187.0,2012,306.0
43,Prescott,40420.0,168.0,2.0,14.0,19.0,133.0,1104.0,197.0,883.0,24.0,2012,9.0
44,Prescott,39407.0,89.0,4.0,1.0,8.0,76.0,750.0,95.0,622.0,33.0,2012,3.0
45,Sahuarita,25736.0,11.0,0.0,2.0,2.0,7.0,374.0,49.0,311.0,14.0,2012,14.0
47,Scottsdale,223432.0,329.0,3.0,42.0,115.0,169.0,6047.0,1255.0,4551.0,241.0,2012,27.0
48,Sedona,10173.0,20.0,0.0,4.0,4.0,12.0,219.0,50.0,161.0,8.0,2012,0.0
49,Show Low,10773.0,87.0,0.0,4.0,6.0,77.0,569.0,107.0,450.0,12.0,2012,0.0
50,Sierra Vista,46612.0,130.0,0.0,24.0,28.0,78.0,1541.0,246.0,1217.0,78.0,2012,5.0
52,Somerton,14687.0,18.0,0.0,0.0,0.0,18.0,224.0,70.0,143.0,11.0,2012,0.0
55,Surprise,120793.0,162.0,3.0,8.0,62.0,89.0,2488.0,519.0,1851.0,118.0,2012,14.0
56,Tempe,166061.0,878.0,11.0,44.0,253.0,570.0,7824.0,1250.0,6085.0,489.0,2012,25.0
59,Tucson,531535.0,3851.0,43.0,234.0,1260.0,2314.0,,5021.0,,2499.0,2012,198.0
63,Yuma,95568.0,508.0,5.0,27.0,61.0,415.0,3353.0,955.0,2162.0,236.0,2012,35.0
1,Buckeye,55710.0,49.0,1.0,1.0,17.0,30.0,1328.0,334.0,925.0,69.0,2013,8.0
2,Bullhead City,39577.0,76.0,0.0,0.0,25.0,51.0,1716.0,363.0,1252.0,101.0,2013,11.0
3,Camp Verde,10942.0,33.0,0.0,2.0,0.0,31.0,259.0,57.0,185.0,17.0,2013,0.0
4,Casa Grande,50058.0,229.0,5.0,12.0,57.0,155.0,1975.0,474.0,1415.0,86.0,2013,37.0
5,Chandler,248718.0,575.0,2.0,52.0,162.0,359.0,5900.0,993.0,4628.0,279.0,2013,77.0
6,Chino Valley,10850.0,50.0,1.0,1.0,2.0,46.0,207.0,34.0,163.0,10.0,2013,0.0
10,Cottonwood,11285.0,44.0,0.0,1.0,3.0,40.0,401.0,40.0,346.0,15.0,2013,7.0
12,El Mirage,32837.0,86.0,1.0,4.0,18.0,63.0,1173.0,297.0,802.0,74.0,2013,5.0
13,Eloy,17602.0,72.0,1.0,8.0,7.0,56.0,506.0,156.0,311.0,39.0,2013,28.0
14,Flagstaff,67963.0,246.0,1.0,25.0,43.0,177.0,2869.0,220.0,2594.0,55.0,2013,25.0
